order_id,merchant_id,confirm_time,true_kpt,rider_arrival_time,restaurent_load,for_time,order_time,zomato_baseline,sensor_kpt
1,39,76330.01,1123.06,76897.57,7,77660.20,1269.55,1229.33,1148.49
2,29,44603.80,1486.08,44998.74,8,46217.56,741.88,1212.03,1488.32
3,15,67026.06,989.05,67398.20,4,68068.37,1115.50,1236.04,1017.50
4,43,48708.65,1121.67,49344.86,6,49947.78,809.49,1249.83,-1.00
5,8,47897.09,1071.38,48399.80,3,49031.27,795.89,1229.21,1077.51
6,21,10058.20,990.86,10530.12,1,11099.20,165.23,1229.07,1013.70
7,39,11040.22,1237.13,11481.47,5,12323.58,181.64,1229.33,1246.94
8,19,45858.84,1719.64,46219.78,10,47763.47,762.53,1231.84,1740.77
9,23,23337.02,1485.57,23763.69,4,24814.39,387.16,1262.18,1490.44
10,11,1908.17,902.68,2424.32,3,2882.10,30.29,1250.04,928.45
11,11,62532.13,1316.38,63202.05,4,63841.13,1040.89,1250.04,1336.34
12,24,2949.95,1223.75,3478.29,5,4277.99,46.78,1273.36,1232.04
13,36,51503.10,1191.36,51793.56,6,52669.25,857.20,1217.08,1218.01
14,40,46758.88,1278.10,47260.48,9,48332.25,776.44,1223.21,1295.51
15,24,83864.79,1160.61,84393.77,2,85044.36,1395.09,1273.36,1183.20
16,3,41998.92,1157.41,42654.33,4,43113.47,697.27,1201.25,1187.06
17,22,5663.96,1274.37,6224.28,1,6885.40,91.59,1222.09,1287.82
18,2,47774.87,928.82,48210.76,8,48973.32,794.43,1225.11,936.17
19,24,72832.31,1628.20,73324.48,12,74673.63,1211.18,1273.36,-1.00
20,44,86206.75,1029.72,86619.35,1,87211.64,1435.46,1197.90,1035.08
21,30,37244.25,1859.20,37740.25,3,39091.05,619.69,1177.83,1866.34
22,38,27828.00,1290.85,28643.72,3,29076.49,461.23,1246.01,1303.95
23,2,78403.82,1410.36,78954.72,9,79980.62,1305.58,1225.11,1436.78
24,21,16701.94,601.60,16910.86,2,17258.04,275.39,1229.07,611.80
25,33,53314.03,1483.34,53789.44,7,54992.21,886.22,1210.49,1509.18
26,12,35204.14,1290.83,35832.56,5,36520.57,584.23,1166.39,1311.14
27,22,3639.01,1036.25,4193.49,4,4716.10,59.16,1222.09,1047.91
28,44,30146.59,726.13,30674.38,2,30915.00,500.10,1197.90,734.96
29,25,22980.93,1472.15,23529.45,7,24627.30,381.93,1205.71,1481.56
30,49,59438.81,1229.51,59897.95,2,60765.15,987.97,1228.05,1235.69
31,27,82055.85,1127.88,82534.26,2,83180.93,1366.26,1274.00,1139.88
32,42,23302.96,1180.18,23754.98,2,24527.89,385.99,1199.29,1202.46
33,28,70197.59,1501.07,70670.12,8,71875.16,1168.51,1238.69,1510.91
34,16,4851.30,1482.39,5299.10,3,6422.66,79.72,1244.70,1487.89
35,15,46611.43,1588.38,47131.41,1,48319.42,774.89,1236.04,1598.83
36,47,6175.84,989.07,6831.33,1,7135.62,101.59,1239.46,1000.95
37,44,80847.98,864.94,81148.08,5,81824.82,1345.01,1197.90,893.12
38,3,66301.26,1262.14,66806.98,5,67516.19,1103.55,1201.25,1280.75
39,37,56947.97,1742.86,57492.69,1,58775.75,947.45,1252.55,1768.44
40,7,71312.74,1657.72,71859.34,9,73260.23,1186.41,1210.21,1668.79
41,21,56039.91,1169.66,56419.80,5,57266.78,932.43,1229.07,1199.32
42,9,83822.15,1239.33,84241.26,5,85060.35,1395.28,1209.60,1245.87
43,39,61843.84,859.59,62440.45,2,62678.43,1028.10,1229.33,870.63
44,18,79972.01,1184.41,80475.67,4,81243.93,1331.51,1204.49,1192.84
45,4,44750.06,1709.26,45215.93,4,46416.94,744.67,1206.64,1733.87
46,25,10213.77,1272.92,10649.89,4,11512.87,168.57,1205.71,1283.47
47,14,45745.48,1340.75,46284.29,7,47349.81,760.58,1223.04,1366.41
48,50,11086.93,855.31,11554.78,1,12030.96,182.70,1203.29,868.72
49,9,51296.13,1424.94,51895.74,2,52724.01,853.19,1209.60,1436.00
50,26,41842.19,1349.01,42215.73,2,43225.87,694.79,1223.49,1362.38
51,2,53855.23,1853.73,54299.15,4,55675.59,896.51,1225.11,1872.91
52,20,979.87,1699.63,1614.06,5,2722.94,14.47,1228.61,1703.86
53,28,16940.09,835.57,17426.39,3,17800.30,280.57,1238.69,842.82
54,47,42588.66,768.03,42900.61,5,43460.09,707.52,1239.46,772.97
55,7,82299.46,1373.41,82980.89,4,83696.66,1368.73,1210.21,1386.23
56,44,33265.07,1110.97,33777.43,6,34430.40,552.40,1197.90,-1.00
57,8,36844.17,1184.50,37404.53,6,38034.91,611.10,1229.21,1198.35
58,47,61846.01,1329.79,62232.53,6,63166.52,1029.16,1239.46,-1.00
59,35,52231.40,1795.50,52646.87,6,53989.92,869.46,1275.43,-1.00
60,14,25907.10,1460.85,26354.26,5,27398.58,430.45,1223.04,1461.50
61,17,35601.95,1233.15,35982.76,3,36870.17,591.58,1259.72,1243.50
62,36,18907.22,1355.74,19339.04,2,20274.06,313.49,1217.08,1369.04
63,50,83535.90,1217.63,83894.54,5,84794.05,1391.07,1203.29,1225.05
64,40,11398.73,2152.03,11654.28,4,13596.50,188.11,1223.21,2176.06
65,4,32227.27,1044.11,32542.89,3,33233.24,535.44,1206.64,1067.72
66,2,2307.20,588.95,2682.55,2,2883.68,37.21,1225.11,594.95
