order_id,merchant_id,confirm_time,true_kpt,rider_arrival_time,restaurent_load,for_time,order_time
3261,3,1772298453.00,1062.00,1772299518.00,0.20,1772299552.88,0.00
256,63,1772298465.00,1624.00,1772300151.00,0.62,1772300191.28,0.00
1054,133,1772298467.00,1238.00,1772299841.00,0.49,1772299902.17,0.00
2455,70,1772298474.00,1280.00,1772300027.00,0.58,1772300098.49,0.00
2803,146,1772298526.00,1412.00,1772299935.00,0.52,1772312014.84,1.00
1714,151,1772298538.00,1323.00,1772299942.00,0.20,1772299899.76,1.00
1803,113,1772298566.00,1622.00,1772300446.00,0.62,1772300274.92,2.00
2801,83,1772298588.00,1632.00,1772300271.00,0.27,1772300306.13,2.00
3775,162,1772298643.00,1536.00,1772300312.00,0.13,1772300209.12,3.00
1915,134,1772298643.00,1426.00,1772299969.00,0.52,1772309813.44,3.00
2411,145,1772298647.00,1498.00,1772300099.00,0.26,1772300131.97,3.00
4438,82,1772298663.00,1465.00,1772300194.00,0.37,1772315910.72,4.00
1818,107,1772298664.00,1343.00,1772300142.00,0.56,1772300096.84,4.00
272,96,1772298669.00,1271.00,1772300215.00,0.49,1772300020.32,4.00
4571,141,1772298685.00,1529.00,1772300240.00,0.45,1772300277.88,4.00
1728,77,1772298687.00,1496.00,1772300220.00,0.37,1772310253.84,4.00
4829,28,1772298698.00,1572.00,1772300291.00,0.24,1772300319.92,4.00
4687,181,1772298710.00,1813.00,1772300483.00,0.57,1772308328.12,4.00
3041,25,1772298733.00,1672.00,1772300558.00,0.39,1772300465.56,5.00
1092,27,1772298767.00,1322.00,1772300141.00,0.62,1772300186.40,5.00
4444,103,1772298772.00,1757.00,1772300697.00,0.65,1772300776.89,5.00
3450,43,1772298793.00,1533.00,1772300625.00,0.59,1772302490.32,6.00
1043,196,1772298799.00,1573.00,1772300658.00,0.50,1772300720.73,6.00
1529,65,1772298812.00,1059.00,1772300004.00,0.23,1772309098.65,6.00
2628,167,1772298821.00,1701.00,1772300551.00,0.66,1772305728.48,6.00
503,96,1772298853.00,1151.00,1772299978.00,0.12,1772299994.05,7.00
2430,15,1772298854.00,1660.00,1772300619.00,0.32,1772300574.80,7.00
2322,99,1772298873.00,1714.00,1772300762.00,0.64,1772300682.44,7.00
4328,106,1772298882.00,1247.00,1772300092.00,0.45,1772300148.25,7.00
1908,35,1772298892.00,1274.00,1772300238.00,0.58,1772304142.96,7.00
2497,96,1772298893.00,1640.00,1772300469.00,0.56,1772300621.56,7.00
4006,141,1772298909.00,1397.00,1772300548.00,0.48,1772300380.72,8.00
4336,146,1772298945.00,1633.00,1772300605.00,0.66,1772312014.84,8.00
4702,26,1772298974.00,1331.00,1772300359.00,0.24,1772300361.32,9.00
13,35,1772298977.00,1439.00,1772300608.00,0.17,1772304142.96,9.00
1021,78,1772298990.00,1622.00,1772300880.00,0.52,1772307745.01,9.00
759,109,1772299008.00,1614.00,1772300561.00,0.55,1772312227.69,9.00
4031,156,1772299009.00,1342.00,1772300408.00,0.39,1772300457.53,9.00
4313,85,1772299018.00,1556.00,1772300855.00,0.21,1772300882.93,9.00
1768,193,1772299039.00,1607.00,1772300626.00,0.69,1772300739.32,10.00
4093,121,1772299080.00,1335.00,1772300443.00,0.43,1772300497.21,10.00
2363,144,1772299094.00,1035.00,1772300270.00,0.19,1772300163.56,11.00
753,166,1772299094.00,1135.00,1772300382.00,0.17,1772300404.65,11.00
1784,197,1772299125.00,1299.00,1772300318.00,0.38,1772300365.73,11.00
4884,98,1772299185.00,1399.00,1772300630.00,0.54,1772314320.16,12.00
2541,183,1772299185.00,1428.00,1772300656.00,0.44,1772300711.05,12.00
4343,108,1772299200.00,1612.00,1772301054.00,0.26,1772312523.33,12.00
907,1,1772299203.00,1176.00,1772300296.00,0.41,1772310383.33,13.00
72,48,1772299226.00,1481.00,1772300678.00,0.69,1772300801.40,13.00
2768,49,1772299259.00,1712.00,1772301133.00,0.46,1772310955.24,13.00
1888,71,1772299290.00,1362.00,1772300821.00,0.53,1772300886.85,14.00
2784,72,1772299305.00,1404.00,1772300949.00,0.61,1772300799.80,14.00
181,179,1772299310.00,1600.00,1772301026.00,0.32,1772301066.53,14.00
439,101,1772299314.00,1365.00,1772300642.00,0.67,1772300724.65,14.00
3642,144,1772299314.00,1110.00,1772300348.00,0.13,1772300365.73,14.00
1596,51,1772299324.00,1616.00,1772300849.00,0.45,1772300905.01,15.00
3808,196,1772299359.00,1312.00,1772300902.00,0.45,1772300749.76,15.00
238,156,1772299362.00,1460.00,1772300902.00,0.12,1772300865.52,15.00
2119,139,1772299376.00,1201.00,1772300827.00,0.27,1772300633.64,15.00
4536,52,1772299380.00,1509.00,1772301074.00,0.37,1772300956.76,15.00
3112,6,1772299383.00,1808.00,1772301278.00,0.58,1772301349.61,16.00
1504,43,1772299402.00,1748.00,1772301416.00,0.51,1772302490.32,16.00
1683,106,1772299407.00,1574.00,1772300887.00,0.56,1772301070.96,16.00
1424,61,1772299415.00,1797.00,1772301405.00,0.55,1772301296.88,16.00
2528,167,1772299426.00,1420.00,1772301031.00,0.64,1772305728.48,16.00
2973,112,1772299434.00,1289.00,1772300938.00,0.32,1772300978.41,16.00
116,59,1772299460.00,1633.00,1772301384.00,0.38,1772322119.40,17.00
1534,35,1772299484.00,1720.00,1772301382.00,0.48,1772304142.96,17.00
393,24,1772299497.00,1587.00,1772301113.00,0.66,1772305697.77,17.00
2304,104,1772299508.00,1099.00,1772300715.00,0.14,1772300734.29,18.00
2813,74,1772299515.00,1422.00,1772301178.00,0.27,1772300981.76,18.00
4712,96,1772299536.00,1812.00,1772301261.00,0.60,1772301335.25,18.00
